,Название,ИНН,Адрес,ОКВЭД,Деятельность
0,РОСИМУЩЕСТВО,7710723134,,,
1,"ООО ""АГРОКОМПЛЕКС ЛАБИНСКИЙ""",2314017030,,,
2,"ГОСКОРПОРАЦИЯ ""РОСАТОМ""",7706413348,,,
3,"ПАО ""ГАЗПРОМ НЕФТЬ""",5504036333,,,
4,"ПАО ""ЛУКОЙЛ""",7708004767,,,
5,"ОАО ""УРАЛЬСКАЯ ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ"", ОАО ""УГМК""",6606013640,,,
6,"ПАО ""ГАЗПРОМ""",7736050003,,,
7,"АО ""ТРАНСМАШХОЛДИНГ""",7723199790,,,
8,"ООО ""ГОРОДСКИЕ ТЕХНОЛОГИИ""",3123411084,,,
9,"АО ""РТИ МИКРОЭЛЕКТРОНИКА""",7735596569,,,
10,"ООО ГК ""НАРОДНЫЕ ХУДОЖЕСТВЕННЫЕ ПРОМЫСЛЫ""",7708364209,,,
11,"ООО ""ЦИФРОВАЯ ИНДУСТРИАЛЬНАЯ ПЛАТФОРМА""",7813646509,,,
12,"ООО ""СБЕРБАНК ИНВЕСТИЦИИ""",5032229441,,,
13,"ООО ""СТАР МЕДИА ДИСТРИБЬЮШН""",7723633907,,,
14,"ООО ""ЛТС-СЕРВИС""",9709002445,,,
15,"ООО ""ХОЛДИНГ АКВА""",2626047111,,,
16,"АО ""ОМЕГА ТРЕЙД""",7709912874,,,
17,"АО ""АТОМЭНЕРГОПРОМ""",7706664260,,,
18,"ООО ""РАДАМАНТ""",7728864400,,,
19,"ДП ООО ""ТОРГОВЫЙ ДОМ"" ЗАО МЯСОПТИЦЕКОМБИНАТА ""КАНЕВСКОЙ""",2334016885,,,
20,"ПАО ""РОСТЕЛЕКОМ""",7707049388,,,
21,"ООО ""ЕДИНЫЙФАКТОР""",7729660992,,,
22,"АО РАОС, АО ""РУСАТОМ ОВЕРСИЗ""",7725413350,,,
23,"ООО ""ГАЗ - ОЙЛ ТРЕЙДИНГ""",7709773211,,,
24,"ООО ""КОММИТ КЭПИТАЛ""",7702527457,,,
25,"ООО ""СТАР МЕДИА ВИЖН""",9704007016,,,
26,"ООО""АФИПСКИЙ НПЗ""",7704214548,,,
27,"ООО ""ЛУКОЙЛ-ТЕХНОЛОГИИ""",9709038314,,,
28,"ООО ""МЕДТЕХ ИИ""",9713011675,,,
29,"АО ""КМКР""",2626003072,,,
30,"ООО ""ГАЗПРОМ ГНП ХОЛДИНГ""",3906229324,,,
31,"АО ""УРАЛЭЛЕКТРОМЕДЬ""",6606003385,,,
32,"ООО ""УЛЬТРА ФЕРТ УРАЛ""",6684039685,,,
33,"АО ""УК ""БМЗ""",3232035432,,,
34,"ООО ""ВОЗДВИЖЕНСКОЕ""",9704136526,,,
35,"АО ""НМГ""",7704676655,,,
36,"ООО ""НРА""",7731320369,,,
37,"""ОПОРА РОССИИ""",7704247293,,,
38,"АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ (АСИ), АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ, АСИ",7704278735,,,
39,"ООО ""КОМПАНИЯ ТРАССА""",5029080456,,,
40,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,,,
41,"ООО ""ЦИФРА""",7704245507,,,
42,ФГАОУ ВО ПЕРВЫЙ МГМУ ИМ.И.М. СЕЧЕНОВА МИНЗДРАВА РОССИИ (СЕЧЕНОВСКИЙ УНИВЕРСИТЕТ),7704047505,,,
43,"ООО ""ОТКРЫТАЯ МОБИЛЬНАЯ ПЛАТФОРМА""",1615012605,,,
44,"РОССИЙСКОЕ ОБЩЕСТВО УРОЛОГОВ, РОУ",7704142244,,,
45,"ООО ""ЯНДЕКС""",7736207543,,,
46,"НП ""МАП""",7709443291,,,
47,"АССОЦИАЦИЯ ""УТСР""",7714429479,,,
48,БАНК ГПБ (АО),7744001497,,,
49,"ООО ""ГАЗПРОМ УПРАВЛЕНИЕ АКТИВАМИ КСН""",7813655951,,,
50,"ООО ""КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5""",7728632689,,,
51,"АО ""ГАЗПРОМ-МЕДИА ХОЛДИНГ""",7728668727,,,
52,"ПАО ""НОВАТЭК""",6316031581,,,
53,"ООО ""АР СИ БРЮ""",5406601315,,,
54,"ООО ""ГАЗПРОМ ИНВЕСТ РГК""",7751001106,,,
55,"ООО ""СТАТУС""",7728520086,,,
56,БАНК ВТБ (ПАО),7702070139,,,
57,"ООО ""МЕГАКОМ""",5003106773,,,
58,"АО ""ГАЗСТРОЙПРОМ""",7842155505,,,
59,"ООО ""ЦЕНТРГАЗЭНЕРГОРЕМОНТ""",5050048663,,,
60,"АО ""РОСХИМ""",7716953328,,,
61,"ООО ""АУРА-МЕДИА""",7730517394,,,
62,"ООО""ГАЗПРОМ ЦЕНТРРЕМОНТ""",5050073540,,,
63,"ООО ""ГСП-ИНВЕСТИЦИИ""",7810797852,,,
64,"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ""",5003021311,,,
65,"ООО ""ОПЕРАТОР ГАЗПРОМ ИД""",7743228142,,,
66,"ООО ""ГАЗПРОМ КАПИТАЛ""",7726588547,,,
67,"ООО ""ГПМ ПРОЕКТЫ""",7701736754,,,
68,"ООО ""ЭТП ГПБ КОНСАЛТИНГ""",7728356929,,,
69,"ООО ""АГРОКОМ ХОЛДИНГ""",6163156380,,,
70,"ООО ""ГРУППА АГРОКОМ""",6163070862,,,
71,"ООО ""НОВАПОРТ ХОЛДИНГ""",7704857789,,,
72,ФОНД ИНФРАСТРУКТУРНЫХ И ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ,7728116275,,,
73,"ООО ""ВЕЛЕС ТРАСТ""",7703603950,,,
74,"ПАО ""МОСЭНЕРГО""",7705035012,,,
75,ПАО РОСБАНК,7730060164,,,
76,"АО УК ""АЭРОПОРТЫ РЕГИОНОВ""",7705986635,,,
77,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ""РОСТЕХ""",7704274402,,,
78,"ООО ""ОНИКС""",7728522943,,,
79,"ООО ""ЗАПОЛЯРЬЕНЕФТЕГАЗ""",2457089844,,,
80,"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""",8401005730,,,
81,"АО ""ИНТЕР РАО КАПИТАЛ""",7701296415,,,
82,"ФОНД ""СОЗИДАНИЕ""",1326178496,,,
83,"ООО ""ВЛРП""",3818013862,,,
84,"АО ""КРП""",2461007121,,,
85,"ООО ""ПОЛЯРНЫЙ ЛИТИЙ""",9709083109,,,
86,"ООО""ТРЭВЭЛС""",7826056320,,,
87,"АО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ""САРАНСК""",1328905789,,,
88,"ООО ""СДК ""ГАРАНТ""",7714184726,,,
89,"ООО ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,
90,"ПАО ""ИНТЕР РАО""",2320109650,,,
91,"АО ""ГАЗПРОМНЕФТЬ-АЭРО""",7714117720,,,
92,МИНИСТЕРСТВО ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ СВЕРДЛОВСКОЙ ОБЛАСТИ,6658091960,,,
93,"ООО ""НЦ ТЕХНОСПАРК""",5046075713,,,
94,"ООО ""ТОЛИНГ""",7728780824,,,
95,"ООО ""ЖУРАВСКОЕ ХОЛДИНГ""",7728200248,,,
96,"ПАО ""РУСГИДРО""",2460066195,,,
97,"ООО ""ДНС ГРУПП""",2543083050,,,
98,"ПАО ""РОССЕТИ""",4716016979,,,
99,МИНПРОМТОРГ РОССИИ,7705596339,,,
100,"ООО ""ЛВНГ""",2983013832,,,
101,"АО ""КОНЦЕРН ""КАЛАШНИКОВ""",1832090230,,,
102,"АО ""НОВАПОРТ-ГСМ""",7707530340,,,
103,МИНИМУЩЕСТВО РОСТОВСКОЙ ОБЛАСТИ,6163021632,,,
104,"ООО ""НЕВА-6""",7804024036,,,
105,"ООО ""ЛУКОЙЛ-АЭРО""",7702354081,,,
106,"ООО ""АЭРОПОРТ ТОМСК""",7014044882,,,
107,"АО ""БСКБ ""ВОСТОК""",2221181133,,,
108,"АО ""КОНЦЕРН ""СОЗВЕЗДИЕ""",3666127502,,,
109,"ООО ""ВНГ""",8904094487,,,
110,"ООО ""ТЗК ""ПЛАНЕТА""",3664067801,,,
111,"ООО ПКФ ""АТЛАНТИС-ПАК""",6163026503,,,
112,"ООО ""ИНТЕР ФОРЕСТ РУС""",9703043283,,,
113,"ПАО ""СЕГЕЖА ГРУПП""",9703024202,,,
114,"ООО ""ТАВР-ИМУЩЕСТВЕННЫЙ КОМПЛЕКС""",6165181945,,,
115,"ООО ""ИНТЕРГЕОПРОЕКТ""",7710405766,,,
116,"ООО ""АПИК""",6102063473,,,
117,"ПАО ""ТРАНСНЕФТЬ""",7706061801,,,
118,"ООО ""СТРОЙ-ПРОФИТ""",7728281208,,,
119,"АО ""НПП ""ФАЗА""",6152000912,,,
120,"АО ""ЭР-ТЕЛЕКОМ ХОЛДИНГ""",5902202276,,,
121,"ООО ""СТАРТАП-СТУДИЯ ДВФУ""",2540273052,,,
122,"ООО ""УНИВЕРСИТЕТСКАЯ СТАРТАП-СТУДИЯ""",1650419070,,,
123,"АО ""РОСТОВАЭРОИНВЕСТ""",6163123680,,,
124,"АО ""АЛЬФА-БАНК""",7728168971,,,
125,"ООО УК ""РОСВОДОКАНАЛ""",5027116065,,,
126,РОСКАЧЕСТВО,9705044437,,,
127,"ООО ""АРТЕМИДА-ДОН""",6143043412,,,
128,"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ""",7838306818,,,
129,"ПАО АФК ""СИСТЕМА""",7703104630,,,
130,"ООО ""МВМ""",7707548740,,,
131,"ООО ""ИНФОРМ""",7705514400,,,
132,"АО ""СБЕРБАНК ЛИЗИНГ""",7707009586,,,
133,"АО ""СИСТЕМА ВЕНЧУР КЭПИТАЛ""",7708215920,,,
134,"АО ""ТОМСКНЕФТЬ"" ВНК",7022000310,,,
135,"ООО ""ГАЗПРОМ ЭНЕРГО""",7736186950,,,
136,"ПАО ""НК ""РОСНЕФТЬ""",7706107510,,,
137,"АО ""ГАЗПРОМНЕФТЬ-ННГ""",8905000428,,,
138,"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""",8903019871,,,
139,"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""",8622000931,,,
140,"ООО ""НОВЫЕ ЦИФРОВЫЕ РЕШЕНИЯ""",7707415098,,,
141,"ПАО ""ЭСЭФАЙ""",6164077483,,,
142,"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ДЕПОЗИТАРИЙ ""ИНФИНИТУМ""",7705380065,,,
143,"ООО ""БАЛАНС ЭССЕТ МЕНЕДЖМЕНТ""",7727528950,,,
144,"ООО ""ТПМ СЕКЬЮРИТИЗАЦИЯ""",9702043989,,,
145,"ООО ""УК ""АГАНА""",7706219982,,,
146,"ФОНД ""ПРОГРЕСС-1""",9702021569,,,
147,"ООО ""ДОМ.РФ УПРАВЛЕНИЕ АКТИВАМИ""",7704366195,,,
148,"ООО ""УК ""ЛЕРТА КАПИТАЛ""",3906328893,,,
149,"ООО ""ЦЕНТР ЭКСПЕРТИЗ""",9702036646,,,
150,"ООО ""ГАЛС-ДЕВЕЛОПМЕНТ""",9705138170,,,
151,"ООО ""ЛАБИРИНТ-М""",7727777402,,,
152,"АО ""МТТ""",7705017253,,,
153,"ООО ""ИРТ""",9714017292,,,
154,"ЗПИФ комбинированный ""Мегаполис капитал""",7723566915,,,
155,"ООО ""ЦЕНТРКАСПНЕФТЕГАЗ""",7728297783,,,
156,"ООО ""МЕРКУРИЙ РИТЕЙЛ ХОЛДИНГ""",9703127582,,,
157,ООО СБЕРЕЖЕНИЯ ПЛЮС,7722270922,,,
158,ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ КРАСНОДАРСКОГО КРАЯ,2308077553,,,
159,"ПАО ""Т ПЛЮС""",6315376946,,,
160,"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""",1102054991,,,
161,"ООО ""АВЕЛАР СОЛАР ТЕХНОЛОДЖИ""",7701921436,,,
162,"ООО ""ЛОКОТЕХ-СЕРВИС""",7704758153,,,
163,"ООО ""РТ-ЭНЕРГО""",7729663922,,,
164,"ООО ""ЧАЙКА МЕДИА ГРУП""",7717741742,,,
165,"ООО ""ОЙЛ ТЕХНОЛОДЖИС""",7728731619,,,
166,"ЗАО ""НЕДВИЖИМОСТЬ ЦЕНТР ШАТУРА""",7725710145,,,
167,"АО ""ЭНЕРГОСБЫТ ПЛЮС""",5612042824,,,
168,"ООО ""ФОТОН СОЛЮШН""",9729036562,,,
169,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ДЕЛОВАЯ РОССИЯ""",7722257336,,,
170,"ПАО ""ВЫМПЕЛКОМ""",7713076301,,,
171,"ПАО ""МЕГАФОН""",7812014560,,,
172,"РАО, РОССИЙСКОЕ АВТОРСКОЕ ОБЩЕСТВО",7703030403,,,
173,"АО ""МИР""",7704760674,,,
174,"АО ""РОСЭЛЕКТРОНИКА""",7710277994,,,
175,"АО ""КОРПОРАЦИЯ ""МСП""",7750005919,,,
176,"Фл ""Оренбургэнерго"" ПАО ""Россети Волга""",6450925977,,,
177,"ООО ""УК ""ГЖЕЛЬ""",5040092977,,,
178,"ООО ""ГАЗЭКС ХОЛДИНГ""",5024214378,,,
179,"АО ""НТЦ ""АТЛАС""",9715389053,,,
180,"ООО ""ЛУКОЙЛ-РНП-ТРЕЙДИНГ""",9705083130,,,
181,"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""",1102024468,,,
182,"ООО ""ГПН-ФИНАНС""",8601017300,,,
183,"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""",6627001318,,,
184,"ОАО ""РЖД""",7708503727,,,
185,"ГУП КК ""ЦИТ""",2308065195,,,
186,"ООО ""РЕДАКЦИЯ ГАЗЕТЫ ""ГОРЯЧИЙ КЛЮЧ""",2305027723,,,
187,"АО ""ЖЕЛДОРРЕММАШ""",7715729877,,,
188,ВГТРК,7714072839,,,
189,"АО ""РТ-ПРОЕКТНЫЕ ТЕХНОЛОГИИ""",7724804619,,,
190,"ООО ""РОСТЕЛЕКОМ-ЦИФРОВЫЕ РЕГИОНЫ""",7704305026,,,
191,"ООО ""БИТРЕЙД СЛАВЯНКА""",3025007170,,,
192,"НП ""АИР ЮФО""",6163075028,,,
193,"МОО ""МОСКОВСКАЯ АССОЦИАЦИЯ ПРЕДПРИНИМАТЕЛЕЙ""",7710051524,,,
194,"АССОЦИАЦИЯ ""НП ""ОПОРА""",7730146005,,,
195,ДЕПАРТАМЕНТ ГОРОДСКОГО ИМУЩЕСТВА ГОРОДА МОСКВЫ,7705031674,,,
196,"ООО ""ГК ""ФЕРРО-ЭСТЕЙТ""",7701270544,,,
197,"АО ""СИБУР-РТ""",1655020761,,,
198,"АО ""МОСИНЖПРОЕКТ""",7701885820,,,
199,"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""",1651000010,,,
200,"ПАО ""СИБУР ХОЛДИНГ""",7727547261,,,
201,"ООО ""ЕВРАЗ""",7701225358,,,
202,АО ГРУППА СИНАРА,6658252583,,,
203,"ПАО ""РОССЕТИ ЦЕНТР""",6901067107,,,
204,МИНМОСОБЛИМУЩЕСТВО,7725131814,,,
205,"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА",1644003838,,,
206,"ПАО ""ТМК""",7710373095,,,
207,"ООО ""ЛОКОТЕХ""",7715900556,,,
208,"ООО ""РН-СЕРВИС""",7706660065,,,
209,"ООО ""МЕГАПОЛИС""",2315157143,,,
210,"ООО ""КОНЦЕРН ""РОССИУМ""",5032152372,,,
211,"ООО ""АРКТИК БАЛКЕР""",2469004757,,,
212,"ООО ""РИГЛА""",7724211288,,,
213,"ООО ""РКС ДЕВЕЛОПМЕНТ""",7703669888,,,
214,"АО ""СГ-ТРАНС""",7740000100,,,
215,"АО ""РАЗВИТИЕ АКТИВОВ""",7713653904,,,
216,"ООО ""АЛАЗЕЯ КАПИТАЛ""",7730258679,,,
217,"ООО ""ИНВЕСТ АГ""",7730656856,,,
218,"АО ""ЕВРАЗ НТМК""",6623000680,,,
219,"АО ""ЭФКО ПРОДУКТЫ ПИТАНИЯ""",7705274941,,,
220,"ООО ""РН-АКТИВ""",7706584449,,,
221,"ООО ""БРЯНСКЭЛЕКТРО""",7731480563,,,
222,"ООО ""РИ2""",7725363004,,,
223,"АО ""СЕТЕВАЯ КОМПАНИЯ""",1655049111,,,
224,"ООО ""ОЗОН ФУЛФИЛМЕНТ СЕРВИСИС""",9703037770,,,
225,"ООО ""СЗД""",5919492823,,,
226,"ООО СЗ ""ОДЕОН""",5024221858,,,
227,"АО ""МЕЖГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ""",5504223661,,,
228,"ООО ""ШТАНДАРТ""",5032093166,,,
229,"ООО ""СОЛАР-ПТ""",9705144745,,,
230,ДЕПИМУЩЕСТВА ЮГРЫ,8601003917,,,
231,"ООО ""ВИЗИОН""",9705208565,,,
232,"ООО ""КС - АВТО""",3525123840,,,
233,"ООО ""ТЕХНОПАРК ""ТРАКТОРОЗАВОДСКИЙ""",7452046148,,,
234,ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ ТЮМЕНСКОЙ ОБЛАСТИ,7202138460,,,
235,"АО ""РОСНАНО""",7728131587,,,
236,"АО ""ВЕСТЕЛКОМ""",7703081503,,,
237,"АО ""СТМ""",6672241304,,,
238,"ООО ""АЕОН-ДЕВЕЛОПМЕНТ""",7704640264,,,
239,ДЕПАРТАМЕНТ СТРОИТЕЛЬСТВА ГОРОДА МОСКВЫ,7707639796,,,
240,"ГУП ""МОСКОВСКИЙ МЕТРОПОЛИТЕН""",7702038150,,,
241,"ООО ""ГПН-ИНВЕСТ""",7728678933,,,
242,"ОАО ""УК РУСЭНЕРГОКАПИТАЛ""",4401091193,,,
243,"ООО ""МЦГР""",9703013183,,,
244,"АО ""КЭС""",5024037961,,,
245,"АО ""КПЭС""",5024105629,,,
246,"ООО ""А-ИНВЕСТ""",9709086325,,,
247,"ООО ""БИРЮЧ""",3122002473,,,
248,"АО ""КРЭТ""",7703695246,,,
249,"ООО ""РКС-МОСКВА""",9705102400,,,
250,"ООО ""СОЛАР СЕКЬЮРИТИ""",7718099790,,,
251,"ООО ""ЛЛК-ИНТЕРНЕШНЛ""",7702583250,,,
252,"АО ""ГОСТИНИЦА ""КОЛОС""",7203229328,,,
253,"ООО ""МСП""",7735595558,,,
254,"АО ""СГ-ТРЕЙДИНГ""",7704833717,,,
255,"ООО ""ГАЗПРОМ МЕЖРЕГИОНГАЗ СЕВЕР""",7838042298,,,
256,"ООО ""АЛЛЕГРО""",6623130104,,,
257,"АО ""ПРОТЕК""",7715354473,,,
258,"АО ""РЖД УПРАВЛЕНИЕ АКТИВАМИ""",7708182801,,,
259,"АО ""КОРПОРАЦИЯ ПОПОВ РАДИО""",9706010896,,,
260,"ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",5260200603,,,
261,АО ЦВ ПРОТЕК,7724053916,,,
262,"ООО ""СЕЧЕНОВ.ПРО""",9715374191,,,
263,"АО ""МОСКАПСТРОЙ""",7710043065,,,
264,"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""",7723006328,,,
265,"ООО ""НСДЖИПИ-АКТИВЫ""",9704015401,,,
266,"ООО ""ГАЗСТРОЙКОНТРОЛЬ""",5047064048,,,
267,"АО ""КОРПОРАЦИЯ РАЗВИТИЯ""",6671199917,,,
268,"ООО ""РИ-ИНВЕСТ""",7705551779,,,
269,"АО ""ЦЕНТРАЛЬНАЯ ППК""",7705705370,,,
270,МИНЭКОНОМРАЗВИТИЯ РОССИИ,7710349494,,,
271,"ООО ""БПО ""ПЕЧАТНИКИ""",9714024518,,,
272,"ООО ""РН-РЕМОНТ НПО""",6340006106,,,
273,"АО ""МОСЭНЕРГОСБЫТ""",7736520080,,,
274,"ООО ""ГПС""",9731090983,,,
275,"ООО ""НКЦ""",9710076441,,,
276,"АО ""БИЗНЕС-НЕДВИЖИМОСТЬ""",7708797121,,,
277,"АО ""ГКНПЦ ИМ. М.В. ХРУНИЧЕВА""",7730239877,,,
278,"ООО ""СБК КОМПЛЕКТ""",7714437889,,,
279,"АО ""КАЛУГАПУТЬМАШ""",4029000018,,,
280,"ООО ""РЕЙЛ-ЛИЗИНГ",9709071294,,,
281,"ПАО ""КОСТРОМСКАЯ СБЫТОВАЯ КОМПАНИЯ"", ПАО ""КСК""",4401050567,,,
282,"АО ""НПП ""САЛЮТ""",5261079332,,,
283,"АО ""НАУЧНЫЕ ПРИБОРЫ""",7826012838,,,
284,"АО ""ОМСК-ПРИГОРОД""",5505034152,,,
285,"ООО ""КАПИТАЛ""",3525137836,,,
286,"ООО ""РЖД-ТЕХНОЛОГИИ""",7708331203,,,
287,"ООО ""ЦЕНТР ИНДУСТРИАЛЬНЫХ БИОТЕХНОЛОГИЙ""",3111006885,,,
288,"ООО ""ЦТТ""",1655202377,,,
289,"ГУП ТО ""ТРТЦ""",7224016000,,,
290,"ОАО ""ОМСКИЙ АЭРОПОРТ ""ФЁДОРОВКА""",5501235820,,,
291,"ООО ""ДЕЛЬТА-ТРАНС-ИНВЕСТ""",7707501389,,,
292,"АО ""МФ ТЕХНОЛОГИИ""",7707405050,,,
293,МИНЗЕМИМУЩЕСТВО РЕСПУБЛИКИ ТАТАРСТАН,1655043430,,,
294,"ООО ""ИНТЕРНЕТ РЕШЕНИЯ""",7704217370,,,
295,"ФЛ ""НИЖНОВЭНЕРГО"" ПАО ""РОССЕТИ ЦЕНТР И ПРИВОЛЖЬЕ""",5260200603,,,
296,"ООО ""ИПОТЕКА СТРОИТЕЛЬСТВО УПРАВЛЕНИЕ""",7203514501,,,
297,"ЗАО ""ПРСД""",7710198911,,,
298,"ООО ""УК ПРОМСВЯЗЬ""",7718218817,,,
299,"ООО ""УК ""БФА""",7825481139,,,
300,"ООО ""УК ""АТЛАНТА""",7706651991,,,
301,"АО ""КУБАНСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",2309084747,,,
302,"ООО ""ТЕТИС КЭПИТАЛ""",7709853192,,,
303,"АО ""НКК""",7707592234,,,
304,"ООО ""АГЕНТСТВО ПО УПРАВЛЕНИЮ АКТИВАМИ ""ИМПУЛЬС""",7715648191,,,
305,"ООО ""АКТИВ ИНВЕСТ""",9715010155,,,
306,"АО ""УК ""РЕГИОНБИЗНЕСПРОЕКТ""",7723817189,,,
307,"АО ""ПЕТЕРБУРГ-ИНВЕСТ""",7825680984,,,
308,"АО ""КДВ""",7017166840,,,
309,"ООО ""УК ВЕЛЕС МЕНЕДЖМЕНТ""",7703523568,,,
310,"АО ""МЕЧЕЛ-МАЙНИНГ""",5406437129,,,
311,"ООО ""ДЕЛО-ЦЕНТР""",7710279110,,,
312,"АО ""МЕТАЛЛСЕРВИС""",7721040281,,,
313,"АО ""ТВЭЛ""",7706123550,,,
314,"АО ""ИК ""ЛИДЕР""",7726661740,,,
315,"ООО ""УК ""ГЕОКАПИТАЛ""",5029144685,,,
316,"ООО ""ГАРАНТ СЕРВИС""",8905065312,,,
317,АО ВИМ ИНВЕСТИЦИИ,7701140866,,,
318,"ООО УК ""АУРУМ ИНВЕСТМЕНТ""",7706660033,,,
319,"ООО ""РН-КОММЕРЦИЯ""",7706238400,,,
320,"АО УК ""РВМ КАПИТАЛ""",7722563196,,,
321,"ООО ""ТРАНСЭНЕРГОПРОМ""",7731411714,,,
322,"АО УК ""ПЕРВАЯ""",7710183778,,,
323,"АО ""УК ""ИНФРАСТРУКТУРНЫЕ ИНВЕСТИЦИИ""",7707525541,,,
324,"ООО ""УК ""СВИНЬИН И ПАРТНЕРЫ""",7806138649,,,
325,"АО ""ОЧАКОВО-ПРОМЖЕЛДОРТРАНС""",7729566510,,,
326,"ООО ""РУК""",4253029657,,,
327,"ООО ""ВИНДРОТОР""",5246048788,,,
328,"АО ""ВКУСВИЛЛ""",7734443270,,,
329,"ООО ""РУСЭНЕРГОСБЫТ""",7706284124,,,
330,"ООО ""МОТОРИКА""",7719402047,,,
331,"ООО ""ГРУППА ""АРКТИК ЭНЕРДЖИ""",9704085543,,,
332,"ООО ""УТ ""ПЭФ""",5024179395,,,
333,"ООО ""КЭШФЛОУ""",9703166528,,,
334,"ООО ""АМТ""",7017372835,,,
335,"ООО ""ЭКОЛОГИЯ ВОДОСНАБЖЕНИЯ""",7730308175,,,
336,ООО ВТБ ДЕВЕЛОПМЕНТ,7842182650,,,
337,"АО ""АБ ""РОССИЯ""",7831000122,,,
338,"АО ""СТРОЙСЕРВИС""",4234001215,,,
339,"ООО ""ЕТК ПРОМО ПРОДАКШН""",7701369832,,,
340,"ПАО ""МЕЧЕЛ""",7703370008,,,
341,"ООО ""БАЛТИКСТРОЙАЛЬЯНС""",9731114049,,,
342,"ООО ""Т2 МОБАЙЛ""",7743895280,,,
343,"АО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОРПОРАЦИЯ ""УРАЛВАГОНЗАВОД""",6623029538,,,
344,"ЗАО ""ЛИДЕР""",5018026672,,,
345,"ООО ""ФЛЕКСЛАБ""",7801203710,,,
346,"ООО ""СВЯЗЬ ВСД""",7713339141,,,
347,"ООО ""ЛИНКС ХОЛДИНГ""",7713486322,,,
348,"ООО ""ФЭМИЛИ ЮНИКОРН""",7806573507,,,
349,"ООО ""УК МЕЧЕЛ-МАЙНИНГ""",5410020539,,,
350,"ООО ""ТЕХНОПРОМ""",9701020273,,,
351,"ООО ""РН-АЭРО""",7705843041,,,
352,"ООО ""МИРАНДА-МЕДИА""",7702527584,,,
353,"АО ""РАСЧЕТНЫЕ РЕШЕНИЯ""",7727718421,,,
354,"ЗПИФ недвижимости ""Атриум""",7727528950,,,
355,"ЗПИФ комбинированный ""АФМ. Росдевелопмент""",7706761602,,,
356,"ООО ""НЕВА-11""",7804382465,,,
357,"АО ""РТ-ИНВЕСТ""",9705094910,,,
358,"ЗПИФ акций ""Альтернативные инвестиции""",7705903220,,,
359,"ЗПИФ комбинированный ""Аренда Нежилых Помещений""",7721802356,,,
360,"ЗПИФ комбинированный ""АФМ. Орифа""",5612065074,,,
361,"АО ""АТС""",7703651792,,,
362,"ООО ""ТЕХНОСПАРК ВЕНЧУРС""",7751242052,,,
363,"ООО ""МАГАЗИН БУДУЩЕГО""",7751035377,,,
364,"ООО ""ЛУКОЙЛ-ЦЕНТРНЕФТЕПРОДУКТ""",7701285928,,,
365,"ООО ""НХТК""",7727344230,,,
366,"ЗПИФ рентный ""Стратегические инвестиции""",7705934845,,,
367,"АО ""НСД""",7715159793,,,
368,"ЗПИФ рентный ""Земельный""",7705934845,,,
369,"ЗПИФ комбинированный ""Антарес""",7718581523,,,
